studentID,classIDs
3566797,[1996922 3023549]
3295555,[1996922]
2453846,[7615488]
7706368,[7615488]
4028625,[7615488]
1352736,[7615488]
3003127,[7615488]
5750595,[7615488]
2322846,[7615488]
7089542,[5656781]
9627315,[5656781 3023549]
3237494,[5656781]
7058931,[5656781]
4584470,[6167480]
1072978,[6550606]
8067937,[6550606]
9320504,[7361412 7114101 3023549 3084260 1608795 9321992 6380193]
4424903,[5445944 6380193]
6007740,[5445944 6380193]
4220392,[5445944 6380193]
8348682,[5445944 6380193]
3896116,[5445944 6380193]
9774873,[5445944 6380193]
6825470,[5445944 6380193]
4420460,[5445944 6380193]
8916588,[5445944 6380193]
8972264,[5445944 6380193]
6892829,[5445944 6380193]
9188611,[5445944 6380193]
7202877,[5445944 6380193]
7991716,[5445944 6380193]
7135543,[5445944 6380193]
9039281,[5445944 6380193]
8069078,[5445944 6380193]
5374016,[5445944 6380193]
3284507,[5445944 6380193]
2365884,[5445944 6380193]
4935079,[5445944 6380193]
2773105,[5445944 6380193]
3545802,[5445944 6380193]
7717638,[5445944 6380193]
1418426,[7073133]
9405185,[7073133]
8776136,[7073133]
1651305,[7073133]
1175662,[7073133]
3552295,[7073133]
2109240,[7073133]
9320521,[7073133]
7185587,[7073133]
6932388,[7073133]
9301641,[7073133]
9230594,[7073133]
9154586,[7073133]
3478564,[7073133]
8404437,[7073133]
9026812,[7073133]
3595819,[7073133]
5139709,[7073133]
3455653,[7073133]
2527091,[7073133]
7095288,[7073133]
3653447,[7073133]
9453922,[7073133]
5709652,[7073133]
5815029,[7073133]
6002379,[7073133]
1676493,[7073133]
4527373,[7073133]
2225187,[7073133]
4785142,[7073133]
2373099,[7073133]
2471406,[7073133]
8980480,[3023549]
9382830,[3023549]
5876376,[3023549]
6196403,[3023549]
7527795,[3023549]
9216996,[3023549]
9107245,[3023549]
9087733,[3023549]
4416989,[3023549]
5406435,[3023549]
9592560,[3023549]
4829955,[3023549]
5994574,[3023549]
4224330,[3023549]
9084763,[3023549]
4769744,[3023549]
2662432,[3023549]
6048033,[3023549]
5377516,[3023549]
2829341,[3023549]
5391821,[3023549]
7669568,[3023549]
2297097,[3023549]
2445577,[3084260]
9011633,[3084260]
4934302,[3084260]
3109770,[3084260]
8996380,[3084260]
5047328,[3084260]
2634694,[3084260]
5440298,[3084260]
6552337,[3084260]
4785019,[3084260]
4786907,[3084260]
3487834,[3084260]
8538328,[3084260]
3622105,[3084260]
8610238,[9321992]
6626884,[9321992]
8604202,[9321992]
1645915,[9321992]
5349039,[9321992]
9285932,[9321992]
9076207,[9321992]
2785550,[9321992]
8631409,[9321992]
3364674,[9321992]
7708057,[9321992]
9333109,[9321992]
1124628,[9321992]
8470105,[9321992]
2514536,[9321992]
2901001,[9321992]
2216061,[9321992]
2037099,[9321992]
7317106,[9321992]
8935152,[9321992]
4824563,[9321992]
8269127,[9321992]
5653822,[9321992]
6848069,[9321992]
5357688,[9321992]
8449822,[9321992]
3737790,[9321992]
6205586,[9321992]
7138712,[9321992]
4729353,[5445944 6380193]
2426603,[3023549]
1167801,[3084260]
6359098,[1608795]
2791331,[1608795]
6490681,[1608795]
3917632,[1608795]
5699900,[1608795]
8197148,[1608795]
8485620,[1608795]
7487213,[1608795]
9264002,[1608795]
9311257,[1608795]
8196397,[1608795]
1526680,[1608795]
2607030,[1608795]
2229620,[1608795]
5650701,[9321992]
3383160,[6380193]
8832850,[6380193]
